,is_trade,l1_name,l2_name,l3_name,stock_code,name,mc,beta
0,1,传媒,游戏Ⅱ,游戏Ⅲ,002555,三七互娱,0.948,0.8666666666666667
1,1,传媒,游戏Ⅱ,游戏Ⅲ,300418,昆仑万维,0.9393333333333334,0.9753333333333334
2,1,传媒,游戏Ⅱ,游戏Ⅲ,002602,世纪华通,0.932,0.952
3,1,传媒,游戏Ⅱ,游戏Ⅲ,002558,巨人网络,0.8986666666666666,0.6073333333333333
4,1,传媒,游戏Ⅱ,游戏Ⅲ,603444,吉比特,0.892,0.13666666666666666
5,1,传媒,游戏Ⅱ,游戏Ⅲ,002517,恺英网络,0.8873333333333333,0.09266666666666666
6,1,传媒,游戏Ⅱ,游戏Ⅲ,002624,完美世界,0.8853333333333333,0.8273333333333334
7,1,传媒,游戏Ⅱ,游戏Ⅲ,300002,神州泰岳,0.834,0.2786666666666667
8,1,传媒,游戏Ⅱ,游戏Ⅲ,300459,汤姆猫,0.818,0.854
9,1,传媒,游戏Ⅱ,游戏Ⅲ,600633,浙数文化,0.7666666666666667,0.6286666666666667
10,1,传媒,游戏Ⅱ,游戏Ⅲ,002174,游族网络,0.7593333333333333,0.7766666666666666
11,1,传媒,游戏Ⅱ,游戏Ⅲ,002605,姚记科技,0.7426666666666667,0.034666666666666665
12,1,传媒,游戏Ⅱ,游戏Ⅲ,300315,掌趣科技,0.734,0.994
13,1,传媒,游戏Ⅱ,游戏Ⅲ,300113,顺网科技,0.6553333333333333,0.8686666666666667
14,1,传媒,游戏Ⅱ,游戏Ⅲ,002354,天娱数科,0.6513333333333333,0.5093333333333333
15,1,传媒,游戏Ⅱ,游戏Ⅲ,603258,电魂网络,0.6366666666666667,0.016
16,1,传媒,游戏Ⅱ,游戏Ⅲ,300533,冰川网络,0.6253333333333333,0.04
17,1,传媒,游戏Ⅱ,游戏Ⅲ,300031,宝通科技,0.622,0.9086666666666666
18,1,传媒,游戏Ⅱ,游戏Ⅲ,300494,盛天网络,0.6033333333333334,0.07
19,0,传媒,游戏Ⅱ,游戏Ⅲ,300299,富春股份,0.39,0.5913333333333334
20,0,传媒,游戏Ⅱ,游戏Ⅲ,300052,中青宝,0.38133333333333336,0.5926666666666667
21,0,传媒,游戏Ⅱ,游戏Ⅲ,002425,凯撒文化,0.376,0.418
22,0,传媒,游戏Ⅱ,游戏Ⅲ,300043,星辉娱乐,0.356,0.044
23,0,传媒,游戏Ⅱ,游戏Ⅲ,600715,文投控股,0.30266666666666664,0.584
24,0,传媒,游戏Ⅱ,游戏Ⅲ,300148,天舟文化,0.30133333333333334,0.19466666666666665
25,0,传媒,游戏Ⅱ,游戏Ⅲ,300051,三五互联,0.266,0.254
26,0,传媒,游戏Ⅱ,游戏Ⅲ,002306,中科云网,0.22933333333333333,0.1
27,0,传媒,游戏Ⅱ,游戏Ⅲ,002168,惠程科技,0.21066666666666667,0.7013333333333334
28,0,传媒,游戏Ⅱ,游戏Ⅲ,300467,迅游科技,0.20733333333333334,0.7666666666666667
29,0,传媒,游戏Ⅱ,游戏Ⅲ,600892,大晟文化,0.19333333333333333,0.023333333333333334
30,0,传媒,游戏Ⅱ,游戏Ⅲ,002502,ST鼎龙,0.056,0.19066666666666668
31,1,医药生物,中药Ⅱ,中药Ⅲ,600436,片仔癀,0.9813333333333333,0.6533333333333333
32,1,医药生物,中药Ⅱ,中药Ⅲ,000538,云南白药,0.958,0.5966666666666667
33,1,医药生物,中药Ⅱ,中药Ⅲ,600085,同仁堂,0.9493333333333334,0.25733333333333336
34,1,医药生物,中药Ⅱ,中药Ⅲ,000999,华润三九,0.9353333333333333,0.06533333333333333
35,1,医药生物,中药Ⅱ,中药Ⅲ,600332,白云山,0.9286666666666666,0.39466666666666667
36,1,医药生物,中药Ⅱ,中药Ⅲ,002603,以岭药业,0.9113333333333333,0.056
37,1,医药生物,中药Ⅱ,中药Ⅲ,600329,达仁堂,0.8813333333333333,0.052
38,1,医药生物,中药Ⅱ,中药Ⅲ,600129,太极集团,0.8673333333333333,0.112
39,0,医药生物,中药Ⅱ,中药Ⅲ,600518,ST康美,0.8606666666666667,0.08066666666666666
40,1,医药生物,中药Ⅱ,中药Ⅲ,000423,东阿阿胶,0.858,0.09933333333333333
41,1,医药生物,中药Ⅱ,中药Ⅲ,600566,济川药业,0.832,0.14
42,1,医药生物,中药Ⅱ,中药Ⅲ,603858,步长制药,0.7973333333333333,0.15333333333333332
43,1,医药生物,中药Ⅱ,中药Ⅲ,600535,天士力,0.7846666666666666,0.066
44,1,医药生物,中药Ⅱ,中药Ⅲ,000623,吉林敖东,0.7526666666666667,0.2693333333333333
45,1,医药生物,中药Ⅱ,中药Ⅲ,600771,广誉远,0.7346666666666667,0.38
46,1,医药生物,中药Ⅱ,中药Ⅲ,600572,康恩贝,0.7233333333333334,0.07733333333333334
47,0,医药生物,中药Ⅱ,中药Ⅲ,300026,红日药业,0.7153333333333334,0.06066666666666667
48,1,医药生物,中药Ⅱ,中药Ⅲ,600422,昆药集团,0.7133333333333334,0.02666666666666667
49,1,医药生物,中药Ⅱ,中药Ⅲ,603567,珍宝岛,0.6933333333333334,0.28733333333333333
50,1,医药生物,中药Ⅱ,中药Ⅲ,600557,康缘药业,0.684,0.03333333333333333
51,1,医药生物,中药Ⅱ,中药Ⅲ,002737,葵花药业,0.6693333333333333,0.26
52,1,医药生物,中药Ⅱ,中药Ⅲ,600750,江中药业,0.666,0.019333333333333334
53,1,医药生物,中药Ⅱ,中药Ⅲ,002317,众生药业,0.6653333333333333,0.013333333333333334
54,1,医药生物,中药Ⅱ,中药Ⅲ,600211,西藏药业,0.6506666666666666,0.19733333333333333
55,1,医药生物,中药Ⅱ,中药Ⅲ,002287,奇正藏药,0.6386666666666667,0.037333333333333336
56,1,医药生物,中药Ⅱ,中药Ⅲ,600993,马应龙,0.6326666666666667,0.08466666666666667
57,1,医药生物,中药Ⅱ,中药Ⅲ,000989,九芝堂,0.6273333333333333,0.14466666666666667
58,1,医药生物,中药Ⅱ,中药Ⅲ,002424,贵州百灵,0.6086666666666667,0.304
59,1,医药生物,中药Ⅱ,中药Ⅲ,600976,健民集团,0.5986666666666667,0.36133333333333334
60,1,医药生物,中药Ⅱ,中药Ⅲ,002275,桂林三金,0.5913333333333334,0.025333333333333333
61,1,医药生物,中药Ⅱ,中药Ⅲ,600285,羚锐制药,0.5506666666666666,0.11133333333333334
62,1,医药生物,中药Ⅱ,中药Ⅲ,603896,寿仙谷,0.5373333333333333,0.06
63,1,医药生物,中药Ⅱ,中药Ⅲ,000650,仁和药业,0.5306666666666666,0.24466666666666667
64,0,医药生物,中药Ⅱ,中药Ⅲ,002390,信邦制药,0.5233333333333333,0.256
